id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
9899,The Producers,6.14,433,Released,2005-12-25,38058335,134,False,/8PU4tUGUdrKujKwkUkw3M9ZrAaw.jpg,45000000,,tt0395251,en,The Producers,"After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",12.937,/nG0Bix2SH2SQcbAIGhb6yqTG5UH.jpg,They had everything to gain by not being a success!,Comedy,"Sony Pictures, Gaumont Columbia Tristar Films",United States of America,English,"nazi, cheating, success, musical, blonde, producer, broadway, aftercreditsstinger, woman director"
6619,Death in Venice,7.323,433,Released,1971-03-02,0,130,False,/tyWnJeMatQGLsiLfLsxBV0pp9nk.jpg,0,,tt0067445,it,Morte a Venezia,"Composer Gustav von Aschenbach travels to Venice for health reasons. There, he becomes obsessed with the stunning beauty of an adolescent Polish boy named Tadzio who is staying with his family at the same Grand Hôtel des Bains on the Lido as Aschenbach.",15.985,/s81SuFBSqY8T5Lrn5R8ucX8LKxi.jpg,The celebrated story of a man obsessed with ideal beauty.,"Drama, History","Alfa Cinematografica, Warner Bros. Pictures, Productions et Éditions Cinématographiques Françaises","France, Italy",English,"beach, venice, italy, composer, obsession, beauty, vacation, cholera, male homosexuality, epidemic, teenage boy, makeover, homoeroticism, unspoken love"
9463,Vampire Hunter D,6.607,433,Released,1985-12-21,0,80,False,/1zs8iKZMKrtIh2MulIwwU6Gs9EK.jpg,0,,tt0090248,ja,バンパイアハンターD,"In a far-future time ruled by the supernatural, a young girl requests the help of a vampire hunter to kill the vampire who has bitten her and thus prevent her from becoming a vampire herself.",18.245,/k7uOoGUk1JiN3gfKefUj2kP3Vu6.jpg,,"Animation, Fantasy, Horror","movic, Gen, Studio Live, Ashi Productions, Tokyo Laboratory, Trans Arts, CBS Sony Group Inc., Seion Studio",Japan,Japanese,"bounty hunter, based on novel or book, vampire, post-apocalyptic future, gore, count, betrayal, adult animation, anime, mutants, original video animation (ova)"
39100,Dragon Ball Z: The World's Strongest,6.502,433,Released,1990-03-10,18000000,60,False,/xVHgLL32VHlPMl1syvVMuZFSVLM.jpg,0,,tt0142240,ja,ドラゴンボールZ この世で一番強いヤツ,"The evil Dr. Kochin uses the dragon balls to resurrect his mentor, Dr. Wheelo, in an effort to take over the world. Dr. Wheelo, his body having been destroyed by the avalanche that killed him fifty years before, desires the body of the strongest fighter in the world as his new vessel. Believing Roshi to be the world's strongest warrior, Dr. Kochin abducts Bulma and forces Roshi to surrender himself to save her. When Goku hears of their abduction, he goes to their rescue.",30.166,/5elbm3iLgGQ6nA5vqUmi9vIojbF.jpg,Deep in the ice is earth's greatest threat that can only be stopped by one man.,"Action, Animation, Science Fiction","Toei Company, Toei Animation",Japan,"Japanese, English","martial arts, wish, mad scientist, snow, dragon, based on manga, scientist, super power, wish fulfillment, anime"
14580,The Big Heat,7.7,433,Released,1953-10-14,0,89,False,/aqZookq6pJmIT9lVIjDsBY2MNpK.jpg,0,,tt0045555,en,The Big Heat,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,11.922,/n1xdAX2g6PU3aqQXmZtY9gXvvEz.jpg,A hard cop and a soft dame.,"Crime, Thriller",Columbia Pictures,United States of America,English,"suicide, police, gangster, homicide, car bomb, cop, revenge, film noir, death, wrecking yard, patrol car, crime syndicate, mob, preserved film"
37719,A Night at the Opera,7.453,433,Released,1935-11-15,0,96,False,/3Ks9mqYpReb69av3RaHFJq4yhZ9.jpg,0,,tt0026778,en,A Night at the Opera,The Marx Brothers take on high society and the opera world to bring two lovers together. A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,9.078,/A4YDGfJwaG7aMxDVrVJsOHJ7ufK.jpg,Don't miss it! The funniest picture ever made!,"Comedy, Music",Metro-Goldwyn-Mayer,United States of America,"English, Italian","opera, cross dressing"
185789,Mulholland Dr.,7.846,433,Released,1999-01-01,0,88,False,/tLoCvK6BHqeGOQ5MzfH8HVFKYoE.jpg,0,,tt1619856,en,Mulholland Dr.,"Initially, ""Mulholland Dr."" was to mark David Lynch's return to television. It is a retooling of a script originally shot as a 94-minute pilot for a TV series (co-written with TV screenwriter Joyce Eliason) for the channel ABC, which had approved the script, but chose not even to air the pilot once it was done in 1999, despite Lynch's labours to cut the project to their liking. It was left in limbo until 18 month later French company Studio Canal Plus (also producer of 'The Straight Story') agreed to pay ABC $7 million for the pilot, and budget a few million more to turn the pilot into a two-hour, 27-minute movie. The cost of the film doubled to $14 million as sets had to be reconstructed and actors recalled.",7.335,/oGXtT5UW8lDWt8uxlww2zw9GmBs.jpg,,"Thriller, TV Movie, Drama, Mystery","Picture Factory, Imagine Television",United States of America,English,"investigation, pilot, audition"
746333,Superwho?,6.394,433,Released,2022-02-02,7375119,82,False,/7qHpRvBtQBPCXLyl5V3ZszOcwmc.jpg,0,,tt13774454,fr,Super-héros malgré lui,"A struggling actor seems doomed to live life as a loser. When he finally snatches a lead role as a superhero named “Badman,” he feels like everything is possible, but fate strikes again.",12.993,/Aie2kiYOUgZeakpshM2N64PKof1.jpg,He Saves the World... by Accident,"Comedy, Action","StudioCanal, Cinéfrance, BAF Prod, TF1 Films Production",France,French,superhero
468284,The Insult,7.507,432,Released,2017-09-14,1001305,112,False,/ekIdTKHLWzZ4ojDLEkzLzNb8ggK.jpg,3000000,,tt7048622,fr,L'Insulte,"After an emotional exchange between a Lebanese Christian and a Palestinian refugee escalates, the men end up in a court case that gets national attention.",7.34,/w9mlrckg3ZU2rsAlKUbLD1CgBTk.jpg,Words change everything.,"Drama, Crime","Ezekiel Films, Rouge International, Tessalit Productions, SCOPE Pictures, Douri Films","France, Lebanon",Arabic,
23367,Bandslam,5.8,432,Released,2009-08-06,12225023,111,False,/5YSHbGte3wLCZLe3bVu5Pe9LlmZ.jpg,20000000,http://bandslam-movie.com/,tt0976222,en,Bandslam,A high school social outcast and the popular girl bond through a shared love of music.,12.44,/z654TmQygFasbyi52vwHv8fWxoi.jpg,Band Together,"Comedy, Drama, Family, Music, Romance","Summit Entertainment, Walden Media, Goldsmith-Thomas Productions",United States of America,English,"new jersey, musical, battle of the bands, rock band"
